Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,Label
viswap,viswa,viswa,viswap,viswa,p,F
logjuser,,,mqg,,,F
logjuser,logj,oxspring,logjuser,logj,list,F
logjuser,logjuser,jakartaapacheorg,logjuser,logjuser,email,F
melchizadec,chris,jones,chris,chris,jones,T
mike,mike,richmond,mike,mike,papper,F
ajb,adrian,blakey,adrian,adrian,blakey,T
dave,dave,cramer,dave,dave,gomboc,F
hongcz,,,logjuser,,,F
vcochran,vance,cochrane,vec,vance,cochrane,T
anjan,anjan,bacchu,anjan,anjan,rao,F
chris,chris,dolan,chris,chris,yoerg,F
jeff,jeff,shaw,jeff,jeff,turner,F
michael,michael,lasevich,michael,michael,michael,F
sullivansean,sullivan,mwt,sullivansean,sullivan,mlg,F
tom,tom,white,tom,tom,tom,F
alangreenberg,alan,greenberg,adg,alan,greenberg,T
betterjonah,,,hongcz,,,F
jdnovotny,jason,novotny,novotny,jason,novotny,T
lisa,lisa,lisa,apachesupport,lisa,lisa,F
logj,logj,logj,cgllogj,logj,logj,F
logjuser,list,list,logjuser,apache,list,F
logjuser,logj,vececochranecom,logjuser,logj,user,F
robert,robert,hedin,robert,robert,dodier,F
zhujn,,,emttang,,,F
chris,chris,jones,chris,chris,smith,F
jnwallez,jeannoel,wallez,jnw,jeannoel,wallez,T
nicholas,nick,williams,nicholas,nicholas,williams,T
marc,marc,prudhommeaux,marc,marc,preddie,F
philip,philip,yarra,philipyarra,philip,yarra,T
robert,robert,ahn,robert,robert,palmer,F
scott,scott,morgan,scott,scott,farquhar,F
edwardzarecor,edward,zarecor,ezarecor,edward,zarecor,T
logjuser,logj,womackadobecom,logjuser,logj,vececochranecom,F
mike,mike,calmus,mike,mike,heffner,F
plin,,,yhliu,,,F
smj,,,dimalinux,,,F
steve,steve,shabino,steve,steve,mactaggart,F
tech,vikram,goyal,gvix,vikram,goyal,T
adrian,adrian,blakey,adrian,adrian,adrian,F
kevin,kevin,goess,kevin,kevin,steppe,F
listid,ceki,gulcu,ceki,ceki,gulcu,T
logjuser,apache,logj,logjuser,maillist,logj,F
geoff,geoff,geoff,minaret,geoff,geoff,F
jstauffe,james,stauffer,staufferjames,james,stauffer,T
logjuser,logj,user,logjuser,logj,,F
emttang,,,betterjonah,,,F
logjuser,logj,,logjuser,logj,oxspring,F
logjuser,logj,list,logjuser,logj,womackadobecom,F
logjuser,logj,group,logjuser,logj,oxspring,F
logjuser,ml,email,logjuser,logjuserjakarta,email,F
strutsuser,struts,email,strutsuser,struts,struts,F
kevin,kevin,goess,kevin,kevin,jamieson,F
michael,michael,smith,michael,michael,duergner,F
patrickwyss,wyss,patrick,patrickwyss,patrick,patrick,T
wincn,,,,,,F
wincn,,,plin,,,F
chris,chris,dolan,chris,chris,jones,F
dave,dave,gomboc,dave,dave,cramer,F
logjuser,logjuser,list,logjuser,logjusers,list,T
pedrocosta,pedro,costa,pedrosacostapt,pedro,costa,T
rowntrob,robert,rowntree,rowntreerob,robert,rowntree,T
cougar,john,lussmyer,johnlussmyer,john,lussmyer,T
logjuser,logj,adamhmitchellgmailcom,logjuser,logj,oxspring,F
logjuser,logj,list,logjuser,logj,mailinglist,F
mqg,,,lvxiaoyi,,,F
chris,chris,hane,chris,chris,beauchamp,F
jeff,jeff,hodges,jeff,jeff,turner,F
lvxiaoyi,,,logjuser,,,F
yhliu,,,devnull,,,F
chris,chris,chris,chris,chris,jones,F
logjuser,list,users,logjuser,list,mailing,F
logjuser,logjuser,logjuserjakartaapacheorg,logjuser,logjuser,list,F
rakeshmailgroups,rakesh,patel,rakeshmailgroups,rakesh,mailgroups,F
richard,richard,shaw,richard,richard,han,F
raghuveerv,raghuveer,raghuveer,raghuveerv,raghuveer,v,F
wincn,,,zhujn,,,F
adrian,adrian,pitulac,adrian,adrian,adrian,F
adrian,adrian,pitulac,adrian,adrian,blakey,F
blackanonymfox,admin,admin,admin,admin,admin,F
brett,brett,eisenberg,brett,brett,henderson,F
cgu,ceki,email,cgu,ceki,gulcu,F
franktemi,john,smith,javadevmtl,john,smith,T
jbonevic,jeffrey,bonevich,jbonevic,jeff,bonevich,T
logjuser,maillist,logj,logjuser,jakarta,logj,F
mqg,,,zhujn,,,F
zhujn,,,hongcz,,,F
,,,plin,,,F
adam,adam,dudczak,adam,adam,megacz,F
andrew,andrew,ash,andrew,andrew,pimlott,F
logjuser,logjusers,list,logjuser,,list,F
lvxiaoyi,,,devnull,,,F
lvxiaoyi,,,wincn,,,F
moorejim,jim,moore,logj,jim,moore,T
ppeddi,pramodh,peddi,peddip,pramodh,peddi,T
bennyyu,benny,yu,blackrose,benny,yu,T
carolus,konrad,billewicz,konradbillewicz,konrad,billewicz,T
jeff,jeff,singer,jeff,jeff,drost,F
matt,matt,harrison,matt,matt,raible,F
chris,chris,bailey,chris,chris,yoerg,F
chris,chris,beauchamp,chris,chris,yoerg,F
devnull,,,rabbitwkx,,,F
jeff,jeff,linwood,jeff,jeff,drew,F
jeff,jeff,singer,jeff,jeff,hodges,F
logjuser,logjusers,list,logjuser,logj,list,F
michael,michael,duergner,michael,michael,smith,F
mmuculus,john,smith,haefeleuser,john,smith,T
,,,lvxiaoyi,,,F
andrewpennebaker,andrew,pennebaker,apennebaker,andrew,pennebaker,T
ceki,ceki,ceki,ceki,ceki,glc,F
jdnovotny,jason,novotny,jasonnovotny,jason,novotny,T
scott,scott,rogers,scott,scott,farquhar,F
betterjonah,,,emttang,,,F
logjuser,,,logjuser,,list,F
logjuser,logj,email,logjuser,logj,users,F
robert,robert,palmer,robert,robert,dodier,F
zhujn,,,lvxiaoyi,,,F
david,david,hosier,david,david,thielen,F
emttang,,,dimalinux,,,F
jasonnovotny,jason,novotny,novotny,jason,novotny,T
logjuser,logj,,logjuser,logj,womackadobecom,F
majortaylor,f,software,majortaylor,f,kurzawa,F
mimill,mikhail,t,mithun,mikhail,t,T
njkmohan,krishna,nerella,njkmohan,k,nerella,T
powellm,powell,molleti,pmolleti,powell,molleti,T
ralph,ralph,ralph,ralph,ralph,mellor,F
tomcatuser,tomcat,list,dev,tomcat,list,T
heita,hirata,tadashi,thirata,hirata,tadashi,T
jeff,jeff,drost,jeff,jeff,nichols,F
logjuser,logj,vececochranecom,logjuser,logj,group,F
logjuser,logj,womackadobecom,logjuser,logj,jmolierenerimnet,F
oliver,oliver,burn,chainsaw,oliver,burn,T
pqin,phillip,qin,phillipqin,phillip,qin,T
cgu,ceki,gulcu,cekigulcu,ceki,gulcu,T
logjuser,logj,list,logjuser,logjusers,list,F
mike,mike,papper,mike,mike,calmus,F
shirishgoel,shirish,goel,shirishgoel,shirish,shirish,T
vasuvasi,srinivas,rao,vasuvasi,srinivas,srinivas,F
jeff,jeff,drost,jeff,jeff,hodges,F
logjuser,,logjuser,logjuser,logjuser,logjuser,F
mike,mike,mike,mike,mike,calmus,F
robin,robin,walker,robin,robin,robin,F
adam,adam,dudczak,adam,adam,milnesmith,F
ceki,ceki,ceki,ceki,ceki,,F
mikeblakeknox,mike,blakeknox,mikebk,mike,blakeknox,T
msbcode,matt,brown,mattbrown,matt,brown,T
ceki,ceki,glc,ceki,ceki,gulcu,F
john,john,billings,john,john,churchill,F
raja,raja,aluri,raja,raja,raja,F
simon,simon,kitching,skitching,simon,kitching,T
chris,chris,carter,chris,chris,dolan,F
dimalinux,,,emttang,,,F
kevin,kevin,steppe,kevin,kevin,jamieson,F
logjuser,logj,email,logjuser,logjuser,email,F
scott,scott,farquhar,scott,scott,rogers,F
steve,steve,mactaggart,steve,steve,pringle,F
webmaster,martin,martin,mgainty,martin,martin,F
chris,chris,dolan,chris,chris,wensel,F
kevin,kevin,kevin,kevin,kevin,jamieson,F
rabbitwkx,,,wincn,,,F
wincn,,,smj,,,F
bost,rostislav,svoboda,bost,rostislav,,F
brianjohnson,brian,johnson,johnsbrn,brian,johnson,T
dave,david,thielen,dave,david,smithuchida,F
dimalinux,,,mqg,,,F
dimalinux,,,zhujn,,,F
logjuser,logjuser,logjuserjakartaapacheorg,logjuser,logjuserjakarta,logjuserjakartaapacheorg,F
mike,mike,richmond,mike,mike,mike,F
pogosnowboards,gunter,sammet,gunter,gunter,sammet,F
chris,chris,bailey,chris,chris,smith,F
lvxiaoyi,,,plin,,,F
wgl,roland,roland,roland,roland,roland,F
franktemi,john,smith,mmuculus,john,smith,T
jappdev,tasso,none,jappdev,tasso,developer,F
jason,jason,dillon,jason,jason,briggs,F
logjuser,log,list,logjuser,logjusers,list,F
logjuser,logj,womackadobecom,logjuser,logj,group,F
logjuser,logjusers,logjusers,logjuser,list,logjusers,F
roland,roland,rder,roland,roland,roland,F
denis,denis,haskin,denis,denis,avdic,F
dtonhofer,david,sa,dtonhofer,david,tonhofer,F
logjuser,apache,logj,logjuser,users,logj,F
logjuser,logj,group,logjuser,logj,womackadobecom,F
rabbitwkx,,,smj,,,F
robert,robert,varga,robert,robert,hedin,F
scott,scott,morgan,scott,scott,schram,F
logjuser,logj,,logjuser,logjuserjakartaapacheorg,,F
max,max,senft,max,max,max,F
rob,rob,wygand,rob,rob,leek,F
gopalak,gopala,prabhu,gopalak,ggk,prabhu,F
logjuser,logj,womackadobecom,logjuser,logj,,F
stevec,steve,cohen,scohen,steve,cohen,T
chris,chris,bailey,chris,chris,dolan,F
hongcz,,,zhujn,,,F
logjuser,logj,,logjuser,logj,mailinglist,F
logjuser,logj,oxspring,logjuser,logj,logj,F
mike,mike,heffner,mike,mike,baranski,F
tomcatuser,tomcat,group,tomcatuser,tomcat,list,F
wbs,dave,dave,dave,dave,dave,F
logjuser,jacob,kjome,hoju,jacob,kjome,T
lognetdev,lognet,dev,lognetdev,lognet,list,F
nareshksharma,naresh,naresh,nareshksharma,naresh,sharma,T
nicholas,nicholas,williams,nicholas,nicholas,dipiazza,F
cgllogj,logj,logj,logjuser,logj,logj,F
chris,chris,chris,chris,chris,smith,F
ggregory,gary,gregory,garydgregory,gary,gregory,T
joe,joseph,walton,joe,joseph,kuan,F
logjuser,logj,list,logjuser,logj,oxspring,F
logjuser,logj,list,logjuser,logj,paduffyciscocom,F
logjuser,logj,womackadobecom,logjuser,logj,adamhmitchellgmailcom,F
logjuser,logjuser,logjuser,logjuser,ml,logjuser,F
nick,nick,ohanian,nick,nick,chalko,F
plin,,,lvxiaoyi,,,F
sauravmanit,saurabh,jain,sorabh,saurabh,jain,T
tonykerz,tony,k,tonykerz,tony,kerz,T
wendysmoak,wendy,smoak,wsmoak,wendy,smoak,T
,,,rabbitwkx,,,F
dtonhofer,david,tonhofer,davidtonhofer,david,tonhofer,T
gvix,vikram,goyal,vikramgoyal,vikram,goyal,T
logjuser,logj,list,logjuser,logj,vececochranecom,F
max,max,senft,max,max,andersen,F
michael,michael,michael,michael,michael,lasevich,F
chris,chris,carter,chris,chris,smith,F
chris,chris,derham,chris,chris,carter,F
david,david,thielen,david,david,hosier,F
denis,denis,haskin,denis,denis,kostousov,F
erik,erik,zijst,erik,erik,assum,F
jeff,jeff,linwood,jeff,jeff,turner,F
jeff,jeff,turner,jeff,jeff,hodges,F
johnlussmyer,john,lussmyer,cougar,john,lussmyer,T
logjuser,logj,jmolierenerimnet,logjuser,logj,,F
bytek,stefan,bayer,mailings,stefan,bayer,T
cgu,ceki,glc,cgu,,glc,F
chris,chris,wensel,chris,chris,hane,F
milindr,milind,rao,milindr,milind,,F
robert,robert,hedin,robert,robert,ahn,F
logjuser,list,mailing,logjuser,list,list,F
paulsmith,paul,smith,psmith,paul,smith,T
chris,chris,hane,chris,chris,derham,F
jamshedqureshi,jamshed,qureshi,jamshedqureshi,jamshed,teknoloji,T
javadevmtl,john,smith,franktemi,john,smith,T
tonykerz,tony,kerz,tonykerz,tony,k,T
jeff,jeff,turner,jeff,jeff,drost,F
logjuser,logj,list,logjuser,list,list,F
vkapadekar,vivek,kapadekar,vivekk,vivek,kapadekar,T
jason,jason,briggs,jason,jason,fletcher,F
kevsteppe,kevin,steppe,ksteppe,kevin,steppe,T
schultzchristopher,christopher,schultz,chris,christopher,schultz,T
vinkarthik,vin,karthik,decarlisarnaud,vin,karthik,T
chris,chris,yoerg,chris,chris,hane,F
jeff,jeff,drew,jeff,jeff,linwood,F
logjuser,logj,list,logjuser,logj,logj,F
betterjonah,,,,,,F
logjuser,,list,logjuser,logj,list,F
logjuser,logj,adamhmitchellgmailcom,logjuser,logj,paduffyciscocom,F
mahaasad,maha,asad,missjava,maha,asad,T
michael,michael,michael,michael,michael,duergner,F
mimill,mikhail,t,mimill,mikhail,teterin,F
vin,vic,cekvenich,cekvenichvic,vic,cekvenich,T
yoavs,yoav,shapira,shapira,yoav,shapira,T
mark,mark,masse,markmasse,mark,masse,T
meenakshisriram,venkat,venkat,vadlamannati,venkat,venkat,F
pgbakker,paul,paul,pgbakker,paul,bakker,F
rolandberger,roland,berger,bergerr,roland,berger,T
sean,sean,kroah,sean,sean,hager,F
david,david,thielen,dthielen,david,thielen,T
dglassm,douglas,glassman,dglassm,doug,glassman,T
dimalinux,,,devnull,,,F
lvxiaoyi,,,,,,F
smj,,,zhujn,,,F
betterjonah,,,dimalinux,,,F
harinathm,harinath,mallepally,harinath,harinath,mallepally,T
jeff,jeff,shaw,jeff,jeff,nichols,F
mqg,,,dimalinux,,,F
peter,peter,krenesky,peter,peter,mutsaers,F
ramakrishnamenon,ramakrishna,menon,rmenonus,ramakrishna,menon,T
,,,logjuser,,,F
brett,brett,henderson,brettchenderson,brett,henderson,T
logjuser,logjuser,list,logjuser,logjuser,logjuserjakartaapacheorg,F
mark,mark,masse,mark,mark,derricutt,F
rob,rob,henley,rob,rob,wygand,F
eric,eric,yang,eric,eric,lindvall,F
haim,haim,haim,haim,haim,koschitzky,F
jason,jason,dillon,jason,jason,fletcher,F
logjuser,logj,logj,logjuser,jakarta,logj,F
logjuser,logj,mailinglist,logjuser,logj,jmolierenerimnet,F
logjuser,logj,paduffyciscocom,logjuser,logj,user,F
logjuser,logjuserjakartaapacheorg,logjuserjakartaapacheorg,logjuser,logjuser,logjuserjakartaapacheorg,F
markbalster,mark,balster,markb,mark,balster,T
rob,rob,henley,rob,rob,leek,F
robert,robert,ahn,robert,robert,hedin,F
sean,sean,carr,sean,sean,hager,F
adrian,adrian,adrian,adrian,adrian,pitulac,F
james,james,carman,james,james,radvan,F
thunderaxiom,thorbjrn,andersen,nospam,thorbjrn,andersen,T
peter,peter,mutsaers,peter,peter,krenesky,F
adam,adam,milnesmith,adam,adam,rosien,F
emttang,,,smj,,,F
jamietsao,jamie,tsao,jtsao,jamie,tsao,T
logjuser,logj,email,logjuser,logj,adamhmitchellgmailcom,F
anshul,anshul,chhabra,achhabra,anshul,chhabra,T
whitneyjwhite,whitney,white,whitneyjwhite,whtiney,white,T
adam,adam,megacz,adam,adam,rosien,F
cstaylor,christopher,taylor,cstaylor,chris,taylor,F
dglassm,doug,glassman,dglassm,douglas,glassman,F
logjuser,logj,user,logjuser,logj,mailinglist,F
logjuser,logjuser,email,logjuser,logjuserjakarta,email,F
logjuserfaq,logjuserfaq,logjuserfaq,logjuserfaq,,logjuserfaq,F
afester,andreas,fester,andreasfester,andreas,fester,T
doug,doug,grimwade,doug,doug,fraser,F
bryan,bryan,thompson,bryan,bryan,glennon,F
ctuckey,charles,tuckey,charles,charles,tuckey,T
jeff,jeff,linwood,jeff,jeff,shaw,F
jhg,jim,garrison,jhg,james,garrison,F
jhouse,james,house,jameshouse,james,house,T
kevin,kevin,goess,kevin,kevin,kevin,F
logjuser,list,list,logjuser,mailing,list,F
michaelroytman,michael,roytman,mroytman,michael,roytman,T
nathan,nathan,coast,nathan,nathan,sullivan,F
zhujn,,,logjuser,,,F
devnull,,,logjuser,,,F
devnull,,,plin,,,F
eric,eric,yang,eric,eric,charles,F
jeff,jeff,drew,jeff,jeff,drost,F
johnhurt,john,hurt,johnhurt,mississippi,hurt,F
listid,ceki,gulcu,cekigulcu,ceki,gulcu,T
mda,mark,anderson,mark,mark,anderson,T
tim,tim,watts,tim,tim,fox,F
tsv,thomas,svensen,thomassvensen,thomas,svensen,T
logjuser,logjuserloggingapacheorg,,logjuser,logjuserjakartaapacheorg,,F
lohmann,frankolaf,lohmann,lohmann,lohmann,lohmann,F
bardaba,db,db,dblock,db,db,F
hongcz,,,,,,F
jmedina,jorge,medina,cerebrotecnologico,jorge,medina,T
rakeshmailgroups,rakesh,patel,rakeshpatel,rakesh,patel,T
simon,simon,kitching,simon,simon,klaiber,F
erik,erik,erik,erik,erik,assum,F
logjuser,,,logjuser,logj,,F
logjuser,logj,adamhmitchellgmailcom,logjuser,logj,jmolierenerimnet,F
maurielloantonio,antonio,antonio,antoniomau,antonio,antonio,F
plin,,,mqg,,,F
strutsuser,struts,list,user,struts,list,F
fmaillist,florian,boulay,florianboulay,florian,boulay,T
general,general,general,general,logging,general,F
logjuser,logj,jmolierenerimnet,logjuser,logj,users,F
logtasticmail,jason,jason,jasonriz,jason,jason,F
bonevich,jeffrey,bonevich,jbonevic,jeffrey,bonevich,T
brett,brett,henderson,brett,brett,eisenberg,F
charles,charles,villiers,charles,charles,charles,F
chris,chris,smith,chris,chris,dolan,F
chris,chris,wensel,chris,chris,beauchamp,F
dave,david,smithuchida,dave,david,thielen,F
logjuser,,list,logjuser,log,list,F
logjuser,logj,logj,cgllogj,logj,logj,F
m,mike,schilli,mschilli,mike,schilli,T
oliver,oliver,burn,oliverwork,oliver,burn,T
dave,david,liles,dave,david,smithuchida,F
dimalinux,,,plin,,,F
dougclifton,doug,clifton,clido,doug,clifton,T
jeff,jeff,singer,jeff,jeff,nichols,F
logjuser,logjuser,logjuser,logjuser,logjuser,email,F
logjuser,logjusers,list,logjuser,logjuser,list,F
mmuculus,john,smith,franktemi,john,smith,T
tim,tim,watts,timtw,tim,watts,T
,,,mqg,,,F
cgu,ceki,email,cgu,ceki,lc,F
david,david,phillips,david,david,thielen,F
dirk,dirk,ooms,dirk,dirk,schnelle,F
dlarmee,donald,larmee,dlarmee,donald,alterthought,T
emilu,emi,emi,emilu,emi,lu,T
hongcz,,,wincn,,,F
logjuser,list,list,logjuser,log,list,F
logjuser,logj,email,logjuser,logj,logj,F
mroytman,michael,roytman,michaelroytman,michael,roytman,T
sanjaygu,sanjay,sanjaygu,sanjaygu,sanjaygu,sanjaygu,T
scott,scott,rogers,scott,scott,morgan,F
yogeshrao,yogesh,rao,yogu,yogesh,rao,T
andrew,andrew,ash,andrew,andrew,munn,F
chong,ong,cpgm,chong,ong,ebgpgm,F
chris,chris,jones,chris,chris,chris,F
chris,chris,yoerg,chris,chris,chris,F
david,david,hosier,david,david,phillips,F
logjuser,,,hongcz,,,F
praveenrupakula,praveen,praveen,praveensegu,praveen,praveen,F
chris,chris,hane,chris,chris,jones,F
kris,kris,kris,kris,kris,schneider,F
logjuser,maillist,logj,logjuser,users,logj,F
mike,mike,richmond,mike,mike,baranski,F
womack,womack,womack,womack,mark,womack,F
ceki,ceki,glc,ceki,ceki,ceki,F
ceki,ceki,gulcu,cekigulcu,ceki,gulcu,T
chris,chris,dolan,chris,chris,carter,F
david,david,duddleston,david,david,phillips,F
hongcz,,,smj,,,F
logjuser,logj,group,logjuser,logj,list,F
louis,louis,voo,louis,louis,louis,F
matt,matt,raible,matt,matt,harrison,F
rahul,rahul,rahul,rj,rahul,rahul,F
ralphgoers,ralphgoers,ralphgoers,ralphgoers,,ralphgoers,F
chris,christian,schneider,cschneiderpublic,christian,schneider,T
dave,dave,gosselin,dave,dave,gomboc,F
emttang,,,hongcz,,,F
franktemi,john,smith,haefeleuser,john,smith,T
keith,keith,turner,keith,keith,kee,F
logjuser,logj,users,logjuser,logj,logj,F
logjuser,logjuserjakartaapacheorg,,logjuser,logjuserjakartaapacheorg,logjuserjakartaapacheorg,F
geffchang,geff,chang,geffchang,geff,,F
lohmann,lohmann,lohmann,lohmann,frankolaf,lohmann,F
dave,dave,gomboc,dave,dave,newton,F
dave,dave,newton,dave,dave,gosselin,F
david,david,duddleston,david,david,hosier,F
logjuser,logj,user,logjuser,logj,jmolierenerimnet,F
denis,denis,avdic,denis,denis,kostousov,F
ksteppe,kevin,kevin,zhengxiaokai,kevin,kevin,F
logjuser,list,users,logjuser,logj,users,F
logjuser,logjuser,list,logjuser,logjuser,logjuser,F
logjuser,logjuserjakarta,org,logjuser,logjuserjakarta,logjuserjakartaapacheorg,F
parkirat,parkirat,parkirat,parkirat,parkirat,bagga,F
postmenow,eddie,eddie,postmenow,eddie,post,F
zhujn,,,,,,F
jlindsey,john,lindsey,nisroc,john,lindsey,T
logjuser,log,list,logjuser,logjuser,list,F
logjuser,logj,email,logjuser,logjuserjakarta,email,F
logjuser,ml,email,logjuser,logj,email,F
rjmitchell,rob,mitchell,robmitchell,rob,mitchell,T
vasuvasi,srinivas,srinivas,vasuvasi,srinivas,rao,F
apennebaker,andrew,pennebaker,andrewpennebaker,andrew,pennebaker,T
bungrudi,rudi,rudi,bungrudi,rudi,adianto,F
chris,chris,yoerg,chris,chris,carter,F
eric,eric,charles,eric,eric,yang,F
martin,martin,kuchta,martin,martin,diener,F
michael,michael,lasevich,michael,michael,smith,F
mike,mike,heffner,mike,mike,mike,F
dave,dave,gosselin,dave,dave,dave,F
dimalinux,,,yhliu,,,F
logjuser,logj,logj,logjuser,logj,paduffyciscocom,F
michi,michi,mutsuzaki,michim,michi,mutsuzaki,T
sullivansean,sullivan,mlg,sullivansean,sullivan,mwt,F
adam,adam,milnesmith,adam,adam,dudczak,F
goetzger,heinrich,gvtzger,goetzger,heinrich,gtzger,T
jwilmoth,jon,wilmoth,jonwilmoth,jon,wilmoth,T
logjuser,logj,,logjuser,logj,list,F
logjuser,logj,paduffyciscocom,logjuser,logj,group,F
noreply,ceki,glc,cgu,ceki,glc,T
scott,scott,ellsworth,scott,scott,morgan,F
xwhu,hu,hu,xwhu,xiaowen,hu,F
dimalinux,,,hongcz,,,F
dlarmee,donald,alterthought,dlarmee,don,alterthought,T
geoff,geoff,geoff,geoff,geoff,soutter,F
roland,roland,roland,roland,roland,rder,F
skeens,steven,keens,keens,steven,keens,T
david,david,thielen,dave,david,thielen,T
jeff,jeff,linwood,jeff,jeff,drost,F
logjuser,logj,mailinglist,logjuser,logj,email,F
postmenow,eddie,post,postmenow,eddie,eddie,F
